X axis (cm^-1)	Reflectance
713.5327	0.0469
715.4612	0.0470
717.3896	0.0470
719.3181	0.0470
721.2466	0.0471
723.1750	0.0471
725.1035	0.0471
727.0320	0.0471
728.9604	0.0472
730.8889	0.0473
732.8174	0.0474
734.7458	0.0475
736.6743	0.0475
738.6028	0.0475
740.5313	0.0475
742.4597	0.0475
744.3882	0.0475
746.3167	0.0475
748.2451	0.0475
750.1736	0.0476
752.1021	0.0476
754.0305	0.0477
755.9590	0.0478
757.8875	0.0479
759.8159	0.0479
761.7444	0.0479
763.6729	0.0479
765.6013	0.0479
767.5298	0.0480
769.4583	0.0480
771.3867	0.0481
773.3152	0.0481
775.2437	0.0481
777.1721	0.0482
779.1006	0.0483
781.0291	0.0483
782.9575	0.0484
784.8860	0.0484
786.8145	0.0484
788.7429	0.0484
790.6714	0.0485
792.5999	0.0486
794.5283	0.0486
796.4568	0.0486
798.3853	0.0487
800.3137	0.0487
802.2422	0.0488
804.1707	0.0488
806.0991	0.0488
808.0276	0.0488
809.9561	0.0488
811.8845	0.0488
813.8130	0.0489
815.7415	0.0489
817.6699	0.0489
819.5984	0.0491
821.5269	0.0491
823.4553	0.0490
825.3838	0.0491
827.3123	0.0492
829.2407	0.0492
831.1692	0.0493
833.0977	0.0494
835.0261	0.0494
836.9546	0.0494
838.8831	0.0495
840.8115	0.0495
842.7400	0.0495
844.6685	0.0495
846.5969	0.0496
848.5254	0.0496
850.4539	0.0496
852.3823	0.0496
854.3108	0.0496
856.2393	0.0496
858.1677	0.0497
860.0962	0.0498
862.0247	0.0499
863.9531	0.0499
865.8816	0.0498
867.8101	0.0499
869.7385	0.0499
871.6670	0.0500
873.5955	0.0500
875.5239	0.0500
877.4524	0.0500
879.3809	0.0500
881.3093	0.0500
883.2378	0.0500
885.1663	0.0501
887.0947	0.0502
889.0232	0.0502
890.9517	0.0502
892.8801	0.0504
894.8085	0.0504
896.7370	0.0504
898.6655	0.0504
900.5939	0.0504
902.5224	0.0504
904.4509	0.0504
906.3793	0.0505
908.3078	0.0504
910.2363	0.0505
912.1647	0.0505
914.0932	0.0506
916.0217	0.0505
917.9501	0.0505
919.8786	0.0506
921.8071	0.0507
923.7355	0.0507
925.6640	0.0508
927.5925	0.0507
929.5209	0.0508
931.4494	0.0508
933.3779	0.0507
935.3063	0.0507
937.2348	0.0508
939.1633	0.0508
941.0917	0.0509
943.0202	0.0509
944.9487	0.0509
946.8771	0.0509
948.8056	0.0509
950.7341	0.0509
952.6625	0.0509
954.5910	0.0510
956.5195	0.0510
958.4479	0.0510
960.3764	0.0510
962.3049	0.0510
964.2333	0.0510
966.1618	0.0509
968.0903	0.0510
970.0187	0.0510
971.9472	0.0510
973.8757	0.0511
975.8041	0.0511
977.7326	0.0511
979.6611	0.0510
981.5895	0.0510
983.5180	0.0510
985.4465	0.0510
987.3749	0.0511
989.3034	0.0511
991.2319	0.0512
993.1603	0.0512
995.0888	0.0512
997.0173	0.0511
998.9457	0.0512
1000.8740	0.0512
1002.8030	0.0512
1004.7310	0.0512
1006.6600	0.0512
1008.5880	0.0513
1010.5170	0.0513
1012.4450	0.0513
1014.3730	0.0513
1016.3020	0.0513
1018.2300	0.0513
1020.1590	0.0513
1022.0870	0.0513
1024.0160	0.0513
1025.9440	0.0514
1027.8730	0.0513
1029.8010	0.0513
1031.7300	0.0513
1033.6580	0.0514
1035.5870	0.0515
1037.5150	0.0515
1039.4440	0.0514
1041.3720	0.0514
1043.3010	0.0514
1045.2290	0.0514
1047.1570	0.0514
1049.0860	0.0514
1051.0140	0.0514
1052.9430	0.0514
1054.8710	0.0514
1056.8000	0.0514
1058.7280	0.0514
1060.6570	0.0513
1062.5850	0.0513
1064.5140	0.0512
1066.4420	0.0512
1068.3710	0.0512
1070.2990	0.0512
1072.2280	0.0511
1074.1560	0.0510
1076.0840	0.0510
1078.0130	0.0510
1079.9410	0.0510
1081.8700	0.0510
1083.7980	0.0509
1085.7270	0.0509
1087.6550	0.0509
1089.5840	0.0508
1091.5120	0.0507
1093.4410	0.0507
1095.3690	0.0506
1097.2980	0.0505
1099.2260	0.0504
1101.1550	0.0504
1103.0830	0.0503
1105.0110	0.0503
1106.9400	0.0503
1108.8680	0.0503
1110.7970	0.0503
1112.7250	0.0503
1114.6540	0.0502
1116.5820	0.0502
1118.5110	0.0502
1120.4390	0.0502
1122.3680	0.0502
1124.2960	0.0502
1126.2250	0.0502
1128.1530	0.0502
1130.0820	0.0502
1132.0100	0.0503
1133.9380	0.0504
1135.8670	0.0504
1137.7950	0.0504
1139.7240	0.0505
1141.6520	0.0505
1143.5810	0.0505
1145.5090	0.0506
1147.4380	0.0507
1149.3660	0.0507
1151.2950	0.0507
1153.2230	0.0508
1155.1520	0.0508
1157.0800	0.0508
1159.0090	0.0508
1160.9370	0.0508
1162.8650	0.0508
1164.7940	0.0508
1166.7220	0.0508
1168.6510	0.0508
1170.5790	0.0508
1172.5080	0.0509
1174.4360	0.0509
1176.3650	0.0509
1178.2930	0.0510
1180.2220	0.0510
1182.1500	0.0510
1184.0790	0.0510
1186.0070	0.0511
1187.9360	0.0511
1189.8640	0.0511
1191.7920	0.0512
1193.7210	0.0513
1195.6490	0.0513
1197.5780	0.0513
1199.5060	0.0514
1201.4350	0.0514
1203.3630	0.0515
1205.2920	0.0515
1207.2200	0.0516
1209.1490	0.0516
1211.0770	0.0516
1213.0060	0.0517
1214.9340	0.0517
1216.8630	0.0517
1218.7910	0.0517
1220.7190	0.0516
1222.6480	0.0517
1224.5760	0.0517
1226.5050	0.0517
1228.4330	0.0517
1230.3620	0.0517
1232.2900	0.0518
1234.2190	0.0518
1236.1470	0.0518
1238.0760	0.0518
1240.0040	0.0518
1241.9330	0.0519
1243.8610	0.0519
1245.7900	0.0519
1247.7180	0.0519
1249.6460	0.0519
1251.5750	0.0519
1253.5030	0.0519
1255.4320	0.0519
1257.3600	0.0519
1259.2890	0.0519
1261.2170	0.0520
1263.1460	0.0520
1265.0740	0.0519
1267.0030	0.0519
1268.9310	0.0520
1270.8600	0.0520
1272.7880	0.0519
1274.7170	0.0519
1276.6450	0.0520
1278.5730	0.0520
1280.5020	0.0520
1282.4300	0.0520
1284.3590	0.0520
1286.2870	0.0520
1288.2160	0.0520
1290.1440	0.0520
1292.0730	0.0520
1294.0010	0.0520
1295.9300	0.0520
1297.8580	0.0520
1299.7870	0.0520
1301.7150	0.0520
1303.6440	0.0521
1305.5720	0.0521
1307.5000	0.0522
1309.4290	0.0521
1311.3570	0.0521
1313.2860	0.0522
1315.2140	0.0522
1317.1430	0.0522
1319.0710	0.0522
1321.0000	0.0522
1322.9280	0.0522
1324.8570	0.0522
1326.7850	0.0522
1328.7140	0.0523
1330.6420	0.0523
1332.5710	0.0523
1334.4990	0.0523
1336.4270	0.0523
1338.3560	0.0523
1340.2840	0.0523
1342.2130	0.0523
1344.1410	0.0523
1346.0700	0.0523
1347.9980	0.0523
1349.9270	0.0523
1351.8550	0.0523
1353.7840	0.0523
1355.7120	0.0523
1357.6410	0.0523
1359.5690	0.0523
1361.4980	0.0523
1363.4260	0.0523
1365.3540	0.0523
1367.2830	0.0523
1369.2110	0.0523
1371.1400	0.0523
1373.0680	0.0523
1374.9970	0.0524
1376.9250	0.0524
1378.8540	0.0524
1380.7820	0.0524
1382.7110	0.0524
1384.6390	0.0524
1386.5680	0.0525
1388.4960	0.0525
1390.4240	0.0524
1392.3530	0.0524
1394.2810	0.0525
1396.2100	0.0525
1398.1380	0.0525
1400.0670	0.0525
1401.9950	0.0525
1403.9240	0.0525
1405.8520	0.0524
1407.7810	0.0525
1409.7090	0.0525
1411.6380	0.0525
1413.5660	0.0525
1415.4950	0.0525
1417.4230	0.0525
1419.3510	0.0526
1421.2800	0.0525
1423.2080	0.0525
1425.1370	0.0524
1427.0650	0.0524
1428.9940	0.0524
1430.9220	0.0524
1432.8510	0.0524
1434.7790	0.0524
1436.7080	0.0525
1438.6360	0.0524
1440.5650	0.0523
1442.4930	0.0523
1444.4220	0.0523
1446.3500	0.0523
1448.2780	0.0523
1450.2070	0.0523
1452.1350	0.0522
1454.0640	0.0523
1455.9920	0.0524
1457.9210	0.0524
1459.8490	0.0521
1461.7780	0.0520
1463.7060	0.0521
1465.6350	0.0522
1467.5630	0.0522
1469.4920	0.0522
1471.4200	0.0522
1473.3490	0.0523
1475.2770	0.0524
1477.2050	0.0525
1479.1340	0.0525
1481.0620	0.0525
1482.9910	0.0525
1484.9190	0.0524
1486.8480	0.0525
1488.7760	0.0525
1490.7050	0.0525
1492.6330	0.0525
1494.5620	0.0525
1496.4900	0.0526
1498.4190	0.0526
1500.3470	0.0525
1502.2760	0.0525
1504.2040	0.0526
1506.1320	0.0527
1508.0610	0.0526
1509.9890	0.0525
1511.9180	0.0524
1513.8460	0.0524
1515.7750	0.0525
1517.7030	0.0525
1519.6320	0.0525
1521.5600	0.0525
1523.4890	0.0524
1525.4170	0.0524
1527.3460	0.0524
1529.2740	0.0523
1531.2030	0.0523
1533.1310	0.0523
1535.0590	0.0523
1536.9880	0.0523
1538.9160	0.0525
1540.8450	0.0524
1542.7730	0.0523
1544.7020	0.0522
1546.6300	0.0521
1548.5590	0.0521
1550.4870	0.0521
1552.4160	0.0521
1554.3440	0.0521
1556.2730	0.0521
1558.2010	0.0523
1560.1300	0.0522
1562.0580	0.0520
1563.9860	0.0519
1565.9150	0.0518
1567.8430	0.0518
1569.7720	0.0518
1571.7000	0.0517
1573.6290	0.0517
1575.5570	0.0518
1577.4860	0.0517
1579.4140	0.0515
1581.3430	0.0515
1583.2710	0.0514
1585.2000	0.0514
1587.1280	0.0513
1589.0570	0.0512
1590.9850	0.0512
1592.9130	0.0511
1594.8420	0.0509
1596.7700	0.0509
1598.6990	0.0508
1600.6270	0.0508
1602.5560	0.0507
1604.4840	0.0505
1606.4130	0.0504
1608.3410	0.0503
1610.2700	0.0502
1612.1980	0.0501
1614.1270	0.0500
1616.0550	0.0501
1617.9840	0.0499
1619.9120	0.0497
1621.8400	0.0496
1623.7690	0.0495
1625.6970	0.0494
1627.6260	0.0494
1629.5540	0.0493
1631.4830	0.0492
1633.4110	0.0493
1635.3400	0.0494
1637.2680	0.0493
1639.1970	0.0492
1641.1250	0.0492
1643.0540	0.0492
1644.9820	0.0493
1646.9110	0.0493
1648.8390	0.0493
1650.7670	0.0494
1652.6960	0.0496
1654.6240	0.0495
1656.5530	0.0494
1658.4810	0.0494
1660.4100	0.0495
1662.3380	0.0496
1664.2670	0.0497
1666.1950	0.0497
1668.1240	0.0498
1670.0520	0.0499
1671.9810	0.0500
1673.9090	0.0501
1675.8380	0.0502
1677.7660	0.0502
1679.6940	0.0503
1681.6230	0.0504
1683.5510	0.0507
1685.4800	0.0508
1687.4080	0.0507
1689.3370	0.0507
1691.2650	0.0508
1693.1940	0.0510
1695.1220	0.0511
1697.0510	0.0512
1698.9790	0.0513
1700.9080	0.0514
1702.8360	0.0513
1704.7650	0.0514
1706.6930	0.0514
1708.6210	0.0514
1710.5500	0.0515
1712.4780	0.0515
1714.4070	0.0516
1716.3350	0.0518
1718.2640	0.0518
1720.1920	0.0516
1722.1210	0.0516
1724.0490	0.0517
1725.9780	0.0516
1727.9060	0.0517
1729.8350	0.0517
1731.7630	0.0518
1733.6920	0.0520
1735.6200	0.0519
1737.5480	0.0518
1739.4770	0.0519
1741.4050	0.0520
1743.3340	0.0521
1745.2620	0.0521
1747.1910	0.0522
1749.1190	0.0523
1751.0480	0.0523
1752.9760	0.0523
1754.9050	0.0523
1756.8330	0.0524
1758.7620	0.0524
1760.6900	0.0524
1762.6190	0.0524
1764.5470	0.0523
1766.4750	0.0524
1768.4040	0.0524
1770.3320	0.0525
1772.2610	0.0525
1774.1890	0.0524
1776.1180	0.0523
1778.0460	0.0523
1779.9750	0.0524
1781.9030	0.0524
1783.8320	0.0524
1785.7600	0.0524
1787.6890	0.0523
1789.6170	0.0524
1791.5460	0.0524
1793.4740	0.0524
1795.4020	0.0524
1797.3310	0.0523
1799.2590	0.0524
1801.1880	0.0524
1803.1160	0.0523
1805.0450	0.0523
1806.9730	0.0524
1808.9020	0.0523
1810.8300	0.0523
1812.7590	0.0523
1814.6870	0.0523
1816.6160	0.0523
1818.5440	0.0523
1820.4730	0.0523
1822.4010	0.0523
1824.3290	0.0523
1826.2580	0.0523
1828.1860	0.0523
1830.1150	0.0523
1832.0430	0.0522
1833.9720	0.0522
1835.9000	0.0522
1837.8290	0.0522
1839.7570	0.0522
1841.6860	0.0522
1843.6140	0.0522
1845.5430	0.0522
1847.4710	0.0521
1849.4000	0.0521
1851.3280	0.0521
1853.2560	0.0521
1855.1850	0.0521
1857.1130	0.0521
1859.0420	0.0521
1860.9700	0.0520
1862.8990	0.0520
1864.8270	0.0521
1866.7560	0.0521
1868.6840	0.0521
1870.6130	0.0521
1872.5410	0.0520
1874.4700	0.0520
1876.3980	0.0520
1878.3270	0.0520
1880.2550	0.0519
1882.1830	0.0520
1884.1120	0.0520
1886.0400	0.0520
1887.9690	0.0520
1889.8970	0.0520
1891.8260	0.0519
1893.7540	0.0519
1895.6830	0.0519
1897.6110	0.0519
1899.5400	0.0519
1901.4680	0.0519
1903.3970	0.0518
1905.3250	0.0518
1907.2540	0.0519
1909.1820	0.0519
1911.1100	0.0518
1913.0390	0.0518
1914.9670	0.0518
1916.8960	0.0518
1918.8240	0.0518
1920.7530	0.0517
1922.6810	0.0517
1924.6100	0.0517
1926.5380	0.0517
1928.4670	0.0517
1930.3950	0.0517
1932.3240	0.0517
1934.2520	0.0516
1936.1810	0.0516
1938.1090	0.0517
1940.0370	0.0517
1941.9660	0.0517
1943.8940	0.0516
1945.8230	0.0515
1947.7510	0.0516
1949.6800	0.0515
1951.6080	0.0515
1953.5370	0.0515
1955.4650	0.0514
1957.3940	0.0514
1959.3220	0.0515
1961.2510	0.0515
1963.1790	0.0515
1965.1080	0.0514
1967.0360	0.0514
1968.9640	0.0514
1970.8930	0.0513
1972.8210	0.0513
1974.7500	0.0513
1976.6780	0.0513
1978.6070	0.0513
1980.5350	0.0513
1982.4640	0.0513
1984.3920	0.0513
1986.3210	0.0512
1988.2490	0.0512
1990.1780	0.0512
1992.1060	0.0512
1994.0350	0.0512
1995.9630	0.0512
1997.8910	0.0511
1999.8200	0.0511
