Gypsum from RELAB
Sample: CC-JFM-016-B/F1CC16B, 25-75 micron grain size
Wavelength (micron)         Reflectance
3.000000000000000e-1	7.449120000000000e-1
3.050000000000000e-1	7.483540000000000e-1
3.100000000000000e-1	7.512400000000000e-1
3.150000000000000e-1	7.557510000000000e-1
3.200000000000000e-1	7.605990000000000e-1
3.250000000000000e-1	7.642440000000000e-1
3.300000000000000e-1	7.720090000000000e-1
3.350000000000000e-1	7.744250000000000e-1
3.400000000000000e-1	7.810480000000000e-1
3.450000100000000e-1	7.866430000000000e-1
3.500000100000000e-1	7.896620000000000e-1
3.550000000000000e-1	7.961040000000000e-1
3.600000000000000e-1	7.983350000000000e-1
3.650000000000000e-1	8.029120000000000e-1
3.700000000000000e-1	8.043920000000000e-1
3.750000000000000e-1	8.083860000000000e-1
3.800000000000000e-1	8.105690000000000e-1
3.850000000000000e-1	8.134300000000000e-1
3.900000000000000e-1	8.139140000000000e-1
3.950000000000000e-1	8.154430000000000e-1
4.000000000000000e-1	8.188100000000000e-1
4.050000000000000e-1	8.213600000000000e-1
4.100000000000000e-1	8.254220000000000e-1
4.150000000000000e-1	8.245700000000000e-1
4.200000000000000e-1	8.289650000000000e-1
4.250000000000000e-1	8.308270000000000e-1
4.300000000000000e-1	8.338070000000000e-1
4.350000000000000e-1	8.357580000000000e-1
4.400000000000000e-1	8.375400000000000e-1
4.450000000000000e-1	8.395320000000000e-1
4.500000000000000e-1	8.420720000000000e-1
4.550000000000000e-1	8.445000000000000e-1
4.600000000000000e-1	8.461340000000000e-1
4.650000000000000e-1	8.486790000000000e-1
4.700000000000000e-1	8.501560000000000e-1
4.750000000000000e-1	8.510350000000000e-1
4.800000000000000e-1	8.532440000000000e-1
4.850000000000000e-1	8.554540000000000e-1
4.900000000000000e-1	8.585180000000000e-1
4.950000000000000e-1	8.604900000000000e-1
5.000000000000000e-1	8.611650000000000e-1
5.050000000000000e-1	8.625120000000000e-1
5.100000000000000e-1	8.637950000000000e-1
5.150000000000000e-1	8.649810000000000e-1
5.200000000000000e-1	8.660460000000000e-1
5.250000000000000e-1	8.674770000000000e-1
5.300000000000000e-1	8.687610000000000e-1
5.350000000000000e-1	8.700860000000000e-1
5.400000000000000e-1	8.710830000000000e-1
5.450000000000000e-1	8.719740000000000e-1
5.500000000000001e-1	8.737750000000000e-1
5.550000000000001e-1	8.754400000000000e-1
5.600000000000001e-1	8.765930000000000e-1
5.649999999999999e-1	8.786070000000000e-1
5.699999999999999e-1	8.802790000000000e-1
5.749999999999999e-1	8.824250000000000e-1
5.800000000000000e-1	8.832670000000000e-1
5.850000000000000e-1	8.844890000000000e-1
5.900000000000000e-1	8.862130000000000e-1
5.950000000000000e-1	8.867650000000000e-1
6.000000000000000e-1	8.885580000000000e-1
6.050000000000000e-1	8.900530000000000e-1
6.100000000000000e-1	8.897700000000000e-1
6.150000000000000e-1	8.903730000000000e-1
6.200000000000000e-1	8.905240000000000e-1
6.250000000000000e-1	8.912760000000000e-1
6.300000000000000e-1	8.903310000000000e-1
6.350000000000000e-1	8.915830000000000e-1
6.400000000000000e-1	8.909830000000000e-1
6.450000000000000e-1	8.927000000000000e-1
6.500000000000000e-1	8.929400000000000e-1
6.550000000000000e-1	8.932530000000000e-1
6.600000000000000e-1	8.940980000000000e-1
6.650000000000000e-1	8.949630000000000e-1
6.700000000000000e-1	8.951800000000000e-1
6.750000000000001e-1	8.955640000000000e-1
6.800000000000001e-1	8.957770000000000e-1
6.850000000000001e-1	8.966840000000000e-1
6.900000099999999e-1	8.966730000000000e-1
6.950000099999999e-1	8.980570000000000e-1
7.000000099999999e-1	8.981080000000000e-1
7.050000000000000e-1	8.980140000000000e-1
7.100000000000000e-1	8.981810000000000e-1
7.150000000000000e-1	8.986110000000000e-1
7.200000000000000e-1	8.972090000000000e-1
7.250000000000000e-1	8.976620000000000e-1
7.300000000000000e-1	8.985150000000000e-1
7.350000000000000e-1	8.992560000000000e-1
7.400000000000000e-1	8.994630000000000e-1
7.450000000000000e-1	8.987330000000000e-1
7.500000000000000e-1	8.979780000000000e-1
7.550000000000000e-1	8.945280000000000e-1
7.600000000000000e-1	8.922170000000000e-1
7.650000000000000e-1	8.919180000000000e-1
7.700000000000000e-1	8.922190000000000e-1
7.750000000000000e-1	8.932430000000000e-1
7.800000000000000e-1	8.951710000000000e-1
7.850000000000000e-1	8.946130000000000e-1
7.900000000000000e-1	8.937550000000000e-1
7.950000000000000e-1	8.936420000000000e-1
8.000000000000000e-1	8.934670000000000e-1
8.050000000000000e-1	8.943630000000000e-1
8.100000000000000e-1	8.964430000000000e-1
8.150000000000000e-1	8.968380000000000e-1
8.200000000000000e-1	8.965730000000000e-1
8.250000000000000e-1	8.972770000000000e-1
8.300000000000000e-1	8.975500000000000e-1
8.350000000000000e-1	8.978450000000000e-1
8.400000000000000e-1	8.974830000000000e-1
8.450000000000000e-1	8.961160000000000e-1
8.500000000000000e-1	8.961170000000000e-1
8.550000000000000e-1	8.949050000000000e-1
8.600000000000000e-1	8.941270000000000e-1
8.650000000000000e-1	8.937230000000000e-1
8.700000000000000e-1	8.941670000000000e-1
8.750000000000000e-1	8.940390000000000e-1
8.800000000000000e-1	8.947010000000000e-1
8.850000000000000e-1	8.937240000000000e-1
8.900000000000000e-1	8.960370000000000e-1
8.950000000000000e-1	8.935090000000000e-1
9.000000000000000e-1	8.933830000000000e-1
9.050000000000000e-1	8.911900000000000e-1
9.100000000000000e-1	8.930540000000000e-1
9.150000000000000e-1	8.938250000000000e-1
