From Roush et al. (2007) Figure 12, Hapke model, medium grain size
Wavelength (microns)      frequency (cm-1)          real index          imaginary index
3.333333300000000e+2	3.000000000000000e+1	2.702410000000000e+0	2.280000000000000e-2
3.125000000000000e+2	3.200000000000000e+1	2.703720000000000e+0	2.450000000000000e-2
2.941176500000000e+2	3.400000000000000e+1	2.703090000000000e+0	2.620000000000000e-2
2.777777800000000e+2	3.600000000000000e+1	2.704920000000000e+0	2.790000000000000e-2
2.631578900000000e+2	3.800000000000000e+1	2.707790000000000e+0	2.970000000000000e-2
2.500000000000000e+2	4.000000000000000e+1	2.711290000000000e+0	3.150000000000000e-2
2.380952400000000e+2	4.200000000000000e+1	2.715330000000000e+0	3.330000000000000e-2
2.272727300000000e+2	4.400000000000000e+1	2.719820000000000e+0	3.520000000000000e-2
2.173913000000000e+2	4.600000000000000e+1	2.724740000000000e+0	3.710000000000000e-2
2.083333300000000e+2	4.800000000000000e+1	2.730070000000000e+0	3.910000000000000e-2
2.000000000000000e+2	5.000000000000000e+1	2.735780000000000e+0	4.120000000000000e-2
1.923076900000000e+2	5.200000000000000e+1	2.741890000000000e+0	4.330000000000000e-2
1.851851900000000e+2	5.400000000000000e+1	2.748420000000000e+0	4.550000000000000e-2
1.785714300000000e+2	5.600000000000000e+1	2.755410000000000e+0	4.770000000000000e-2
1.724137900000000e+2	5.800000000000000e+1	2.762860000000000e+0	5.010000000000000e-2
1.666666700000000e+2	6.000000000000000e+1	2.770790000000000e+0	5.250000000000000e-2
1.612903200000000e+2	6.200000000000000e+1	2.779210000000000e+0	5.510000000000000e-2
1.562500000000000e+2	6.400000000000000e+1	2.788180000000000e+0	5.770000000000000e-2
1.515151500000000e+2	6.600000000000000e+1	2.797760000000000e+0	6.050000000000000e-2
1.470588200000000e+2	6.800000000000000e+1	2.807970000000000e+0	6.340000000000000e-2
1.428571400000000e+2	7.000000000000000e+1	2.818860000000000e+0	6.650000000000000e-2
1.388888900000000e+2	7.200000000000000e+1	2.830460000000000e+0	6.980000000000000e-2
1.351351400000000e+2	7.400000000000000e+1	2.842880000000000e+0	7.320000000000000e-2
1.315789500000000e+2	7.600000000000000e+1	2.856220000000000e+0	7.690000000000000e-2
1.282051300000000e+2	7.800000000000000e+1	2.870550000000000e+0	8.080000000000000e-2
1.250000000000000e+2	8.000000000000000e+1	2.886000000000000e+0	8.510000000000000e-2
1.219512200000000e+2	8.200000000000000e+1	2.902670000000000e+0	8.970000000000000e-2
1.190476200000000e+2	8.400000000000000e+1	2.920730000000000e+0	9.480000000000000e-2
1.162790700000000e+2	8.600000000000000e+1	2.940400000000000e+0	1.003000000000000e-1
1.136363600000000e+2	8.800000000000000e+1	2.961950000000000e+0	1.065000000000000e-1
1.111111100000000e+2	9.000000000000000e+1	2.985570000000000e+0	1.136000000000000e-1
1.086956500000000e+2	9.200000000000000e+1	3.011640000000000e+0	1.216000000000000e-1
1.063829800000000e+2	9.400000000000000e+1	3.040640000000000e+0	1.309000000000000e-1
1.041666700000000e+2	9.600000000000000e+1	3.073170000000000e+0	1.418000000000000e-1
1.020408200000000e+2	9.800000000000000e+1	3.109950000000000e+0	1.551000000000000e-1
1.000000000000000e+2	1.000000000000000e+2	3.151890000000000e+0	1.715000000000000e-1
9.803922000000000e+1	1.020000000000000e+2	3.200240000000000e+0	1.925000000000000e-1
9.615385000000000e+1	1.040000000000000e+2	3.256560000000000e+0	2.202000000000000e-1
9.433962000000000e+1	1.060000000000000e+2	3.322760000000000e+0	2.586000000000000e-1
9.259259000000000e+1	1.080000000000000e+2	3.400590100000000e+0	3.145000000000000e-1
9.090909000000000e+1	1.100000000000000e+2	3.490360000000000e+0	4.007000000000000e-1
8.928571000000000e+1	1.120000000000000e+2	3.584870000000000e+0	5.427000000000000e-1
8.771930000000000e+1	1.140000000000000e+2	3.650940000000000e+0	7.867000000000000e-1
8.620690000000000e+1	1.160000000000000e+2	3.599040000000000e+0	1.173200000000000e+0
8.474576000000000e+1	1.180000000000000e+2	3.345980000000000e+0	1.554200000000000e+0
8.333333000000000e+1	1.200000000000000e+2	2.984330000000000e+0	1.631400000000000e+0
8.196721000000000e+1	1.220000000000000e+2	2.688670000000000e+0	1.481300000000000e+0
8.064516000000000e+1	1.240000000000000e+2	2.509420000000000e+0	1.282600000000000e+0
7.936508000000000e+1	1.260000000000000e+2	2.416110000000000e+0	1.097500000000000e+0
7.812500000000000e+1	1.280000000000000e+2	2.378480000000000e+0	9.364000000000000e-1
7.692308000000000e+1	1.300000000000000e+2	2.378910000000000e+0	7.991000000000000e-1
7.575758000000000e+1	1.320000000000000e+2	2.406900000000000e+0	6.862000000000000e-1
7.462687000000000e+1	1.340000000000000e+2	2.454010000000000e+0	5.994000000000001e-1
7.352941000000000e+1	1.360000000000000e+2	2.511970000000000e+0	5.390000000000000e-1
7.246377000000000e+1	1.380000000000000e+2	2.573800000000000e+0	5.013999999999999e-1
7.142857099999999e+1	1.400000000000000e+2	2.635250000000000e+0	4.815000000000000e-1
7.042254000000000e+1	1.420000000000000e+2	2.694480000000000e+0	4.750000000000000e-1
6.944444000000000e+1	1.440000000000000e+2	2.750940000000000e+0	4.791000000000000e-1
6.849315000000000e+1	1.460000000000000e+2	2.804680000000000e+0	4.919000000000000e-1
6.756757000000000e+1	1.480000000000000e+2	2.855780000000000e+0	5.129000000000000e-1
6.666667000000000e+1	1.500000000000000e+2	2.904100000000000e+0	5.416000000000000e-1
6.578946999999999e+1	1.520000000000000e+2	2.949280000000000e+0	5.783000000000000e-1
