X axis (cm^-1)	Imaginary index (k)
744.39	0.00066431
746.32	0.00065857
748.25	0.0006529
750.17	0.00064729
752.1	0.00064175
754.03	0.00063627
755.96	0.00063086
757.89	0.00062551
759.82	0.00062022
761.74	0.00061499
763.67	0.00060982
765.6	0.00060472
767.53	0.00059967
769.46	0.00059467
771.39	0.00058974
773.32	0.00058486
775.24	0.00058003
777.17	0.00057526
779.1	0.00057055
781.03	0.00056588
782.96	0.00056127
784.89	0.00055671
786.81	0.0005522
788.74	0.00054774
790.67	0.00054332
792.6	0.00053896
794.53	0.00053464
796.46	0.00053037
798.39	0.00052615
800.31	0.00052197
802.24	0.00051784
804.17	0.00051376
806.1	0.00050971
808.03	0.00050571
809.96	0.00050175
811.88	0.00049784
813.81	0.00049396
815.74	0.00049013
817.67	0.00048634
819.6	0.00048259
821.53	0.00047887
823.46	0.0004752
825.38	0.00047156
827.31	0.00046796
829.24	0.0004644
831.17	0.00046088
833.1	0.00045739
835.03	0.00045394
836.95	0.00045052
838.88	0.00044714
840.81	0.00044379
842.74	0.00044048
844.67	0.0004372
846.6	0.00043395
848.53	0.00043074
850.45	0.00042756
852.38	0.00042441
854.31	0.00042129
856.24	0.0004182
858.17	0.00041515
860.1	0.00041212
862.02	0.00040912
863.95	0.00040616
865.88	0.00040322
867.81	0.00040031
869.74	0.00039743
871.67	0.00039458
873.6	0.00039176
875.52	0.00038896
877.45	0.00038619
879.38	0.00038345
881.31	0.00038073
883.24	0.00037804
885.17	0.00037537
887.09	0.00037273
889.02	0.00037012
890.95	0.00036753
892.88	0.00036496
894.81	0.00036242
896.74	0.00035991
898.67	0.00035741
900.59	0.00035494
902.52	0.0003525
904.45	0.00035007
906.38	0.00034767
908.31	0.00034529
910.24	0.00034294
912.16	0.0003406
914.09	0.00033829
916.02	0.000336
917.95	0.00033373
919.88	0.00033148
921.81	0.00032925
923.74	0.00032704
925.66	0.00032485
927.59	0.00032268
929.52	0.00032053
931.45	0.0003184
933.38	0.00031628
935.31	0.00031419
937.23	0.00031212
939.16	0.00031006
941.09	0.00030803
943.02	0.00030601
944.95	0.00030401
946.88	0.00030202
948.81	0.00030006
950.73	0.00029811
952.66	0.00029618
954.59	0.00029426
956.52	0.00029236
958.45	0.00029048
960.38	0.00028862
962.3	0.00028677
964.23	0.00028494
966.16	0.00028312
968.09	0.00028132
970.02	0.00027953
971.95	0.00027776
973.88	0.00027601
975.8	0.00027427
977.73	0.00027254
979.66	0.00027083
981.59	0.00026913
983.52	0.00026745
985.45	0.00026578
987.37	0.00026413
989.3	0.00026249
991.23	0.00026086
993.16	0.00025925
995.09	0.00025765
997.02	0.00025607
998.95	0.00025449
1000.9	0.00025294
1002.8	0.00025139
1004.7	0.00024985
1006.7	0.00024833
1008.6	0.00024682
1010.5	0.00024533
1012.4	0.00024384
1014.4	0.00024237
1016.3	0.00024091
1018.2	0.00023946
1020.2	0.00023803
1022.1	0.0002366
1024	0.00023519
1025.9	0.00023379
1027.9	0.0002324
1029.8	0.00023102
1031.7	0.00022965
1033.7	0.00022829
1035.6	0.00022695
1037.5	0.00022561
1039.4	0.00022428
1041.4	0.00022297
1043.3	0.00022167
1045.2	0.00022037
1047.2	0.00021909
1049.1	0.00021781
1051	0.00021655
1052.9	0.0002153
1054.9	0.00021405
1056.8	0.00021282
1058.7	0.00021159
1060.7	0.00021038
1062.6	0.00020917
1064.5	0.00020797
1066.4	0.00020679
1068.4	0.00020561
1070.3	0.00020444
1072.2	0.00020328
1074.2	0.00020213
1076.1	0.00020099
1078	0.00019985
1079.9	0.00019873
1081.9	0.00019761
1083.8	0.0001965
1085.7	0.0001954
1087.7	0.00019431
1089.6	0.00019323
1091.5	0.00019215
1093.4	0.00019108
1095.4	0.00019002
1097.3	0.00018897
1099.2	0.00018793
1101.2	0.00018689
1103.1	0.00018587
1105	0.00018485
1106.9	0.00018383
1108.9	0.00018283
1110.8	0.00018183
1112.7	0.00018084
1114.7	0.00017986
1116.6	0.00017888
1118.5	0.00017791
1120.4	0.00017695
1122.4	0.00017599
1124.3	0.00017505
1126.2	0.0001741
1128.2	0.00017317
1130.1	0.00017224
1132	0.00017132
1133.9	0.00017041
1135.9	0.0001695
1137.8	0.0001686
1139.7	0.0001677
1141.7	0.00016682
1143.6	0.00016593
1145.5	0.00016506
1147.4	0.00016419
1149.4	0.00016332
1151.3	0.00016247
1153.2	0.00016162
1155.2	0.00016077
1157.1	0.00015993
1159	0.0001591
1160.9	0.00015827
1162.9	0.00015745
1164.8	0.00015663
1166.7	0.00015582
1168.7	0.00015502
1170.6	0.00015422
1172.5	0.00015343
1174.4	0.00015264
1176.4	0.00015185
1178.3	0.00015108
1180.2	0.00015031
1182.2	0.00014954
1184.1	0.00014878
1186	0.00014802
1187.9	0.00014727
1189.9	0.00014653
1191.8	0.00014578
1193.7	0.00014505
1195.6	0.00014432
1197.6	0.00014359
1199.5	0.00014287
1201.4	0.00014216
1203.4	0.00014144
1205.3	0.00014074
1207.2	0.00014004
1209.1	0.00013934
1211.1	0.00013865
1213	0.00013796
1214.9	0.00013728
1216.9	0.0001366
1218.8	0.00013592
1220.7	0.00013526
1222.6	0.00013459
1224.6	0.00013393
1226.5	0.00013327
1228.4	0.00013262
1230.4	0.00013197
1232.3	0.00013133
1234.2	0.00013069
1236.1	0.00013006
1238.1	0.00012942
1240	0.0001288
1241.9	0.00012817
1243.9	0.00012756
1245.8	0.00012694
1247.7	0.00012633
1249.6	0.00012572
1251.6	0.00012512
1253.5	0.00012452
1255.4	0.00012393
1257.4	0.00012334
1259.3	0.00012275
1261.2	0.00012216
1263.1	0.00012158
1265.1	0.00012101
1267	0.00012044
1268.9	0.00011987
1270.9	0.0001193
1272.8	0.00011874
1274.7	0.00011818
1276.6	0.00011763
1278.6	0.00011708
1280.5	0.00011653
1282.4	0.00011598
1284.4	0.00011544
1286.3	0.00011491
1288.2	0.00011437
1290.1	0.00011384
1292.1	0.00011331
1294	0.00011279
1295.9	0.00011227
1297.9	0.00011175
1299.8	0.00011124
1301.7	0.00011072
1303.6	0.00011022
1305.6	0.00010971
1307.5	0.00010921
1309.4	0.00010871
1311.4	0.00010821
1313.3	0.00010772
1315.2	0.00010723
1317.1	0.00010675
1319.1	0.00010626
1321	0.00010578
1322.9	0.0001053
1324.9	0.00010483
1326.8	0.00010436
1328.7	0.00010389
1330.6	0.00010342
1332.6	0.00010296
1334.5	0.0001025
1336.4	0.00010204
1338.4	0.00010158
1340.3	0.00010113
1342.2	0.00010068
1344.1	0.00010023
1346.1	9.9787e-05
1348	9.9346e-05
1349.9	9.8906e-05
1351.9	9.847e-05
1353.8	9.8035e-05
1355.7	9.7604e-05
1357.6	9.7175e-05
1359.6	9.6749e-05
1361.5	9.6325e-05
1363.4	9.5903e-05
1365.4	9.5484e-05
1367.3	9.5068e-05
1369.2	9.4654e-05
1371.1	9.4242e-05
1373.1	9.3833e-05
1375	9.3426e-05
1376.9	9.3021e-05
1378.9	9.2619e-05
1380.8	9.2219e-05
1382.7	9.1822e-05
1384.6	9.1427e-05
1386.6	9.1034e-05
1388.5	9.0643e-05
1390.4	9.0255e-05
1392.4	8.9869e-05
1394.3	8.9485e-05
1396.2	8.9103e-05
1398.1	8.8723e-05
1400.1	8.8346e-05
1402	8.7971e-05
1403.9	8.7597e-05
1405.9	8.7227e-05
1407.8	8.6858e-05
1409.7	8.6491e-05
